Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
AU MIC  ,  ,         2445650.9,  1.22E-013,  4.17E-014,  1.19E-013,  -6.47E-015,  3.66E-015,  -6.27E-015,  2.79E-013,  1.83E-014,  7.59E-015,  2.29E-013,  1.43E-014,  3.94E-017
AU MIC  ,  ,         2446576.0,  3.99E-014,  2.55E-014,  4.70E-014,  6.61E-014,  9.06E-015,  4.02E-014,  1.77E-013,  1.15E-014,  -5.77E-015,  7.75E-014,  8.57E-015,  4.31E-014
HD 197481,  ,         2446684.0,  1.72E-013,  5.13E-014,  3.37E-014,  -1.84E-013,  8.75E-015,  2.17E-013,  1.32E-013,  1.60E-014,  6.59E-014,  2.58E-013,  1.72E-014,  -1.85E-014
HD 197481,  ,         2446684.0,  8.81E-014,  4.62E-014,  2.31E-013,  1.39E-014,  1.18E-014,  1.18E-013,  1.03E-013,  1.30E-014,  6.67E-014,  5.43E-014,  7.53E-015,  1.93E-014
HD 197481,  ,         2446684.1,  1.27E-013,  4.00E-014,  1.32E-013,  7.87E-014,  1.14E-014,  7.29E-014,  1.36E-013,  9.12E-015,  -1.13E-014,  1.52E-013,  9.52E-015,  -9.89E-015
HD 197481,  ,         2446685.9,  1.64E-013,  2.65E-014,  4.40E-014,  1.06E-013,  1.05E-014,  5.16E-014,  2.25E-013,  1.54E-014,  4.25E-014,  1.69E-013,  1.24E-014,  4.64E-014
HD 197481,  ,         2446686.6,  1.52E-014,  3.76E-014,  1.20E-013,  7.56E-014,  1.33E-014,  8.65E-014,  2.95E-013,  1.75E-014,  -2.42E-014,  1.10E-013,  1.21E-014,  6.63E-014
HD 197481,  ,         2446689.3,  6.90E-014,  2.55E-014,  5.81E-014,  5.58E-014,  1.39E-014,  1.08E-013,  2.62E-013,  1.76E-014,  -1.26E-014,  9.85E-014,  6.99E-015,  -2.89E-014
HD 197481,  ,         2446689.4,  1.59E-013,  2.74E-014,  7.62E-014,  1.20E-013,  1.41E-014,  7.79E-014,  3.16E-013,  2.10E-014,  9.50E-015,  7.18E-014,  1.04E-014,  8.07E-014
HD 197481,  ,         2446690.0,  5.14E-015,  7.44E-014,  2.03E-013,  1.26E-014,  9.34E-015,  -5.87E-014,  1.83E-013,  1.83E-014,  -2.58E-014,  -2.28E-014,  8.76E-015,  1.57E-014
HD 197481,  ,         2446690.0,  4.90E-013,  7.69E-014,  7.51E-014,  1.16E-013,  1.65E-014,  2.67E-014,  2.18E-013,  1.60E-014,  -5.02E-014,  -1.61E-013,  1.01E-014,  2.30E-013
HD 197481,  ,         2446690.1,  4.69E-014,  3.02E-014,  1.66E-013,  2.79E-014,  7.63E-015,  7.12E-014,  1.91E-013,  1.15E-014,  -6.22E-015,  3.90E-014,  4.83E-015,  2.02E-014
HD 197481,  ,         2446690.2,  2.05E-013,  3.01E-014,  6.20E-014,  8.66E-014,  1.17E-014,  5.89E-014,  1.83E-013,  1.57E-014,  4.53E-014,  1.55E-013,  1.21E-014,  2.49E-014
HD 197481,  ,         2446690.2,  2.60E-013,  3.28E-014,  -2.42E-014,  2.35E-014,  1.24E-014,  1.02E-013,  2.03E-013,  1.52E-014,  -1.28E-014,  7.58E-014,  9.36E-015,  3.11E-014
HD 197481,  ,         2446690.3,  1.40E-013,  2.87E-014,  7.38E-014,  -1.53E-014,  1.12E-014,  1.38E-013,  2.75E-013,  2.28E-014,  5.99E-014,  6.18E-014,  5.97E-015,  -2.61E-014
HD 197481,  ,         2446691.3,  2.61E-013,  4.10E-014,  7.29E-014,  2.59E-014,  1.19E-014,  1.28E-013,  1.23E-013,  1.30E-014,  6.16E-014,  -2.08E-014,  2.84E-015,  2.42E-014
HD 197481,  ,         2446691.4,  1.35E-013,  2.46E-014,  1.53E-014,  8.16E-014,  1.29E-014,  7.29E-014,  1.45E-013,  9.25E-015,  -4.77E-014,  2.76E-013,  1.80E-014,  -5.36E-014
HD 197481,  ,         2446691.4,  -2.95E-014,  2.96E-014,  1.11E-013,  -2.07E-015,  9.39E-015,  1.04E-013,  2.30E-013,  1.48E-014,  2.20E-016,  8.72E-014,  9.26E-015,  4.52E-014
HD 197481,  ,         2446692.3,  1.51E-013,  2.71E-014,  5.94E-014,  -3.50E-015,  8.66E-015,  9.21E-014,  1.10E-013,  1.40E-014,  9.74E-014,  3.16E-013,  3.50E-014,  1.86E-013
HD 197481,  ,         2446692.3,  3.82E-013,  5.80E-014,  1.82E-014,  7.81E-014,  1.27E-014,  8.87E-014,  9.44E-014,  1.19E-014,  6.88E-014,  3.25E-014,  1.49E-014,  1.97E-013
HD 197481,  ,         2446692.4,  2.51E-014,  2.22E-014,  4.14E-014,  -5.50E-014,  5.24E-015,  9.59E-014,  2.37E-013,  1.44E-014,  4.07E-016,  7.49E-014,  8.06E-015,  4.59E-014
HD 197481,  ,         2446693.3,  1.88E-013,  2.71E-014,  5.16E-014,  -4.61E-014,  5.54E-015,  7.25E-014,  3.44E-013,  2.18E-014,  -1.59E-015,  2.34E-013,  1.62E-014,  3.22E-014
HD 197481,  ,         2446693.4,  1.58E-013,  2.30E-014,  2.04E-014,  2.83E-014,  9.77E-015,  7.99E-014,  2.09E-013,  2.07E-014,  1.17E-013,  1.02E-013,  1.13E-014,  6.72E-014
HD 197481,  ,         2446694.4,  5.64E-014,  2.63E-014,  6.30E-014,  1.10E-013,  8.44E-015,  1.34E-015,  2.18E-013,  1.36E-014,  3.39E-015,  9.49E-014,  6.23E-015,  -1.14E-014
HD 197481,  ,         2446695.4,  2.87E-013,  4.52E-014,  -1.31E-013,  2.32E-013,  1.62E-014,  -1.42E-014,  3.43E-013,  2.42E-014,  4.52E-014,  1.84E-013,  1.44E-014,  2.71E-014
HD 197481,  ,         2448501.8,  1.50E-013,  3.17E-014,  1.23E-013,  -1.89E-014,  8.48E-015,  9.38E-014,  1.24E-013,  1.20E-014,  4.34E-014,  1.49E-013,  8.35E-015,  -3.74E-014
HD 197481,  ,         2448501.9,  1.88E-014,  5.51E-014,  4.00E-013,  -7.56E-015,  1.47E-014,  1.18E-013,  8.99E-014,  1.07E-014,  -2.73E-014,  2.88E-014,  4.25E-015,  -7.35E-014
HD 197481,  ,         2448502.0,  5.49E-013,  8.71E-014,  1.46E-013,  5.56E-014,  3.22E-014,  3.28E-013,  2.64E-013,  2.54E-014,  2.46E-014,  1.93E-013,  1.85E-014,  -1.31E-014
AU MIC  ,  ,         2448502.2,  1.46E-013,  3.31E-014,  6.58E-014,  6.85E-014,  1.38E-014,  1.24E-013,  2.08E-013,  1.33E-014,  -2.63E-015,  6.67E-014,  6.23E-015,  9.78E-015
AU MIC  ,  ,         2448502.2,  4.71E-014,  3.66E-014,  1.05E-013,  7.78E-014,  1.29E-014,  9.63E-014,  2.06E-013,  1.35E-014,  1.35E-015,  8.00E-014,  7.61E-015,  2.45E-014
AU MIC  ,  ,         2448502.3,  4.76E-014,  3.40E-014,  7.24E-014,  8.92E-014,  1.16E-014,  5.97E-014,  2.61E-013,  1.64E-014,  4.44E-015,  1.08E-013,  9.63E-015,  3.55E-014
AU MIC  ,  ,         2448502.4,  2.47E-014,  3.60E-014,  1.39E-013,  7.47E-014,  1.28E-014,  9.31E-014,  2.87E-013,  1.77E-014,  3.86E-015,  1.61E-013,  1.44E-014,  7.30E-014
AU MIC  ,  ,         2448502.4,  -3.81E-014,  3.23E-014,  1.39E-013,  1.04E-013,  1.42E-014,  9.30E-014,  2.83E-013,  1.73E-014,  -6.11E-016,  7.10E-014,  9.58E-015,  6.83E-014
HD 197481,  ,         2448502.5,  1.50E-013,  2.07E-014,  3.13E-014,  3.59E-014,  8.28E-015,  6.59E-014,  1.34E-013,  1.26E-014,  5.45E-014,  -1.72E-014,  6.41E-015,  1.01E-013
HD 197481,  ,         2448502.6,  3.37E-013,  3.84E-014,  -1.95E-014,  -3.11E-014,  1.11E-014,  1.16E-013,  1.02E-013,  1.05E-014,  -7.70E-015,  1.29E-013,  1.47E-014,  7.19E-014
HD 197481,  ,         2448502.6,  2.02E-013,  3.11E-014,  4.94E-015,  -1.20E-013,  9.35E-015,  1.77E-013,  2.49E-013,  2.12E-014,  5.71E-014,  9.67E-014,  8.66E-015,  -1.70E-014
HD 197481,  ,         2448502.7,  2.20E-013,  2.75E-014,  2.81E-015,  8.97E-015,  9.59E-015,  8.68E-014,  3.34E-013,  2.28E-014,  1.91E-014,  1.66E-013,  1.35E-014,  2.89E-014
HD 197481,  ,         2448503.6,  1.63E-013,  2.29E-014,  7.53E-014,  1.49E-014,  1.85E-014,  2.95E-013,  3.07E-013,  2.77E-014,  1.96E-013,  2.70E-013,  3.62E-014,  4.10E-013
HD 197481,  ,         2448503.7,  2.09E-013,  3.45E-014,  7.54E-014,  -8.68E-014,  1.45E-014,  2.61E-013,  1.98E-013,  1.33E-014,  -3.68E-014,  3.73E-015,  6.19E-015,  3.76E-014
HD 197481,  ,         2448503.8,  3.30E-013,  3.70E-014,  -2.82E-014,  -1.85E-013,  1.45E-014,  3.50E-013,  1.28E-013,  1.22E-014,  8.38E-015,  4.35E-014,  2.09E-015,  -8.69E-014
HD 197481,  ,         2448503.9,  3.21E-013,  4.14E-014,  -2.62E-014,  -3.82E-014,  1.27E-014,  1.45E-013,  1.24E-013,  1.18E-014,  -1.70E-014,  8.37E-014,  2.49E-015,  -1.41E-013
HD 197481,  ,         2448503.9,  6.11E-013,  1.10E-013,  -4.29E-013,  -1.92E-013,  4.33E-014,  4.02E-013,  5.63E-013,  3.67E-014,  -3.35E-013,  8.57E-014,  3.93E-014,  2.30E-013
AU MIC  ,  ,         2448504.2,  -4.67E-014,  4.66E-014,  2.01E-013,  7.87E-015,  7.37E-015,  5.71E-014,  9.64E-015,  3.69E-015,  -7.58E-016,  -7.48E-014,  1.98E-015,  5.79E-014
AU MIC  ,  ,         2448504.3,  -1.00E-013,  4.71E-014,  2.04E-013,  2.95E-014,  8.27E-015,  5.09E-014,  7.48E-014,  8.32E-015,  2.44E-014,  3.41E-014,  5.71E-015,  2.16E-014
AU MIC  ,  ,         2448504.4,  -6.32E-014,  4.13E-014,  1.30E-013,  2.76E-014,  6.85E-015,  2.35E-014,  4.53E-014,  6.66E-015,  1.98E-014,  7.94E-014,  5.66E-015,  -2.58E-014
AU MIC  ,  ,         2448504.4,  -8.12E-014,  4.31E-014,  1.40E-013,  -6.64E-015,  1.04E-014,  8.78E-014,  7.31E-014,  8.26E-015,  -5.26E-015,  9.84E-014,  1.09E-014,  3.83E-014
HD 197481,  ,         2448874.5,  1.02E-013,  3.45E-014,  5.32E-014,  6.31E-014,  2.12E-014,  2.19E-013,  2.14E-013,  1.98E-014,  4.34E-014,  -5.93E-014,  2.09E-015,  9.98E-015
HD 197481,  ,         2448874.6,  2.37E-013,  3.30E-014,  -3.11E-014,  3.38E-015,  1.08E-014,  8.07E-014,  1.00E-013,  1.07E-014,  -5.84E-015,  -1.23E-015,  6.54E-015,  4.56E-014
HD 197481,  ,         2448874.6,  3.37E-013,  3.80E-014,  -3.79E-014,  1.13E-014,  1.38E-014,  1.30E-013,  1.92E-013,  1.45E-014,  -2.06E-014,  1.48E-013,  9.32E-015,  -4.21E-014
HD 197481,  ,         2448874.7,  2.67E-013,  3.94E-014,  1.48E-013,  5.88E-014,  1.78E-014,  2.06E-013,  2.96E-013,  1.56E-014,  -5.44E-014,  7.98E-014,  4.76E-016,  -1.25E-013
HD 197481,  ,         2448874.8,  2.03E-013,  3.27E-014,  8.30E-014,  8.82E-014,  9.04E-015,  5.55E-015,  1.45E-013,  1.11E-014,  8.41E-015,  1.50E-013,  6.38E-015,  -7.66E-014
HD 197481,  ,         2448874.9,  3.87E-013,  4.11E-014,  -3.97E-014,  -5.79E-014,  1.53E-014,  2.30E-013,  2.67E-013,  1.45E-014,  -8.17E-014,  9.59E-014,  2.87E-015,  -1.17E-013
HD 197481,  ,         2448874.9,  2.61E-013,  4.44E-014,  7.29E-014,  2.75E-015,  1.66E-014,  1.96E-013,  2.18E-013,  1.45E-014,  -5.93E-014,  2.15E-013,  1.28E-014,  -4.26E-014
HD 197481,  ,         2448875.0,  4.14E-013,  6.53E-014,  1.87E-013,  1.14E-013,  1.66E-014,  8.04E-014,  2.64E-013,  1.99E-014,  -8.88E-015,  1.18E-013,  2.17E-014,  2.22E-013
HD 197481,  ,         2448875.1,  2.02E-013,  8.18E-014,  3.99E-013,  1.95E-013,  1.55E-014,  -3.05E-014,  4.47E-014,  8.72E-015,  1.54E-014,  -7.04E-014,  5.54E-015,  8.32E-014
