Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
BD+20D2465,  AD-LEO,         51613.145,  1.23E-013,  7.51E-015,  5.21E-015,  1.32E-013,  7.53E-015,  1.33E-014,  2.20E-013,  1.16E-014,  2.70E-015,  1.58E-013,  8.69E-015,  1.35E-014
BD+20D2465,  AD-LEO,         51614.151,  1.46E-013,  8.78E-015,  6.35E-015,  1.48E-013,  8.61E-015,  1.91E-014,  2.49E-013,  1.31E-014,  4.15E-015,  1.96E-013,  1.09E-014,  1.91E-014
BD+20D2465,  AD-LEO,         51615.090,  1.31E-013,  8.04E-015,  7.51E-015,  1.40E-013,  8.13E-015,  1.70E-014,  2.26E-013,  1.20E-014,  3.85E-015,  1.90E-013,  1.05E-014,  1.73E-014
BD+20D2465,  AD-LEO,         51616.096,  1.24E-013,  7.60E-015,  6.31E-015,  1.26E-013,  7.50E-015,  1.84E-014,  2.06E-013,  1.09E-014,  2.89E-015,  1.89E-013,  1.06E-014,  1.94E-014
BD+20D2465,  AD-LEO,         52426.297,  1.25E-013,  7.80E-015,  6.14E-015,  1.31E-013,  7.50E-015,  1.32E-014,  2.19E-013,  1.16E-014,  1.93E-015,  1.57E-013,  8.77E-015,  1.54E-014
BD+20D2465,  AD-LEO,         52427.233,  1.27E-013,  8.49E-015,  5.68E-015,  1.24E-013,  7.32E-015,  1.40E-014,  2.06E-013,  1.12E-014,  2.01E-015,  1.42E-013,  8.01E-015,  1.38E-014
