Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD197481,  HD197481,         51062.512,  9.52E-014,  7.73E-015,  5.09E-015,  7.50E-014,  5.08E-015,  1.58E-014,  2.30E-013,  1.28E-014,  2.96E-015,  1.34E-013,  7.76E-015,  1.49E-014
HD197481,  HD197481,         51062.570,  6.68E-014,  5.83E-015,  3.94E-015,  6.50E-014,  4.31E-015,  1.24E-014,  2.01E-013,  1.11E-014,  1.71E-015,  9.17E-014,  5.49E-015,  1.34E-014
HD197481,  HD197481,         51062.637,  6.68E-014,  6.10E-015,  8.28E-015,  6.91E-014,  4.46E-015,  1.11E-014,  2.06E-013,  1.14E-014,  3.19E-015,  8.94E-014,  5.24E-015,  1.06E-014
HD197481,  HD197481,         51062.704,  7.29E-014,  6.49E-015,  1.01E-014,  6.79E-014,  4.43E-015,  1.15E-014,  2.06E-013,  1.14E-014,  2.65E-015,  8.78E-014,  5.33E-015,  1.36E-014
