Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD-189733                      ,  ,         55090.772,  1.04E-014,  6.75E-016,  4.81E-016,  5.08E-015,  3.39E-016,  9.11E-016,  2.48E-014,  1.37E-015,  2.05E-016,  1.11E-014,  6.61E-016,  1.33E-015
HD-189733                      ,  ,         55090.881,  1.12E-014,  6.45E-016,  6.05E-016,  5.22E-015,  3.26E-016,  1.01E-015,  2.65E-014,  1.38E-015,  2.21E-016,  1.12E-014,  6.38E-016,  1.34E-015
HD-189733                      ,  ,         56547.427,  1.21E-014,  6.86E-016,  6.24E-016,  5.53E-015,  3.44E-016,  1.12E-015,  2.75E-014,  1.44E-015,  2.76E-016,  1.34E-014,  7.54E-016,  1.50E-015
HD-189733                      ,  ,         57928.336,  1.12E-014,  6.35E-016,  5.85E-016,  5.25E-015,  3.20E-016,  9.33E-016,  2.66E-014,  1.39E-015,  2.13E-016,  1.12E-014,  6.37E-016,  1.29E-015
HD-189733                      ,  ,         57937.209,  1.01E-014,  5.77E-016,  5.28E-016,  4.78E-015,  2.92E-016,  8.31E-016,  2.39E-014,  1.25E-015,  1.93E-016,  1.02E-014,  5.85E-016,  1.25E-015
HD-189733                      ,  ,         58689.423,  8.75E-015,  5.04E-016,  4.57E-016,  4.19E-015,  2.53E-016,  6.49E-016,  1.97E-014,  1.04E-015,  1.84E-016,  8.84E-015,  5.03E-016,  1.02E-015
HD-189733                      ,  ,         59093.266,  1.03E-014,  5.91E-016,  5.44E-016,  4.81E-015,  2.96E-016,  8.44E-016,  2.31E-014,  1.22E-015,  1.84E-016,  1.01E-014,  5.83E-016,  1.28E-015
HD-189733                      ,  ,         59044.343,  3.77E-016,  3.86E-017,  1.90E-017,  1.88E-016,  1.96E-017,  3.96E-017,  8.96E-016,  6.56E-017,  1.14E-017,  3.53E-016,  3.13E-017,  1.05E-016
