Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128621,  ,         2445452.5,  4.04E-013,  1.79E-013,  5.82E-013,  -1.18E-012,  1.91E-014,  6.46E-013,  2.41E-012,  1.63E-013,  6.31E-014,  1.21E-013,  8.69E-014,  9.20E-013
HD 128621,  ,         2445452.5,  4.51E-013,  7.26E-014,  5.08E-013,  2.22E-013,  4.87E-014,  6.58E-013,  1.27E-012,  9.90E-014,  5.89E-013,  8.24E-013,  8.86E-014,  8.66E-013
HD 128621,  ,         2445457.3,  8.38E-013,  1.70E-013,  -5.03E-014,  6.94E-013,  8.80E-014,  3.16E-013,  7.32E-013,  8.83E-014,  4.56E-013,  2.97E-013,  5.72E-014,  3.89E-013
HD 128621,  ,         2445457.4,  7.61E-013,  2.54E-013,  9.21E-013,  1.17E-012,  1.92E-013,  1.54E-012,  1.44E-012,  1.42E-013,  5.89E-013,  1.50E-012,  2.00E-013,  1.84E-012
HD 128621,  ,         2445457.4,  2.38E-013,  6.92E-014,  6.44E-013,  6.39E-014,  4.67E-014,  7.52E-013,  1.23E-012,  1.01E-013,  6.55E-013,  6.33E-013,  8.69E-014,  1.01E-012
HD 128621,  ,         2445461.2,  3.81E-013,  1.01E-013,  9.04E-013,  -1.85E-013,  5.24E-014,  1.03E-012,  1.65E-012,  1.25E-013,  6.49E-013,  7.35E-013,  9.05E-014,  9.25E-013
HD 128621,  ,         2445461.3,  4.20E-013,  2.37E-013,  1.00E-012,  5.40E-013,  1.09E-013,  5.76E-013,  2.15E-012,  1.97E-013,  9.79E-013,  1.67E-013,  1.06E-013,  1.33E-012
HD 128621,  ,         2445465.2,  1.04E-013,  8.83E-014,  9.02E-013,  1.22E-013,  4.74E-014,  6.52E-013,  1.26E-012,  1.00E-013,  5.58E-013,  5.19E-013,  8.57E-014,  1.06E-012
HD 128621,  ,         2445465.3,  -1.04E-012,  1.76E-013,  1.31E-012,  -3.60E-013,  5.09E-014,  4.45E-013,  2.57E-012,  1.69E-013,  -5.07E-014,  1.43E-012,  1.25E-013,  3.65E-013
HD 128621,  ,         2445472.3,  4.02E-013,  1.75E-013,  5.14E-013,  3.47E-013,  7.82E-014,  5.04E-013,  1.07E-012,  9.61E-014,  2.99E-013,  7.86E-013,  1.11E-013,  9.84E-013
HD 128621,  ,         2445472.4,  5.88E-013,  1.62E-013,  3.26E-013,  1.50E-013,  7.24E-014,  6.57E-013,  9.42E-013,  9.10E-014,  4.00E-013,  1.28E-012,  1.06E-013,  4.51E-013
HD 128621,  ,         2445472.5,  1.86E-013,  6.78E-014,  7.14E-013,  7.78E-015,  4.19E-014,  7.47E-013,  1.08E-012,  8.81E-014,  5.87E-013,  5.31E-013,  7.90E-014,  9.86E-013
HD 128621,  ,         2445479.4,  -9.69E-013,  2.70E-013,  1.48E-012,  1.04E-013,  5.32E-014,  2.94E-013,  8.25E-013,  9.99E-014,  5.91E-013,  1.61E-013,  8.93E-014,  1.17E-012
HD 128621,  ,         2445479.5,  2.54E-013,  8.01E-014,  7.94E-013,  1.33E-015,  4.41E-014,  7.82E-013,  1.26E-012,  9.67E-014,  5.56E-013,  7.29E-013,  9.69E-014,  1.13E-012
HD 128621,  ,         2445483.3,  -2.92E-013,  1.86E-013,  9.27E-013,  -2.64E-013,  8.31E-014,  1.13E-012,  1.23E-012,  1.44E-013,  9.94E-013,  1.65E-012,  1.43E-013,  6.88E-013
HD 128621,  ,         2445489.3,  7.78E-013,  2.28E-013,  8.59E-013,  -5.63E-014,  9.70E-014,  1.06E-012,  1.93E-012,  1.63E-013,  6.42E-013,  1.61E-012,  1.74E-013,  1.31E-012
HD 128621,  ,         2445489.4,  3.09E-013,  1.00E-013,  1.02E-012,  -1.07E-013,  4.96E-014,  9.81E-013,  1.08E-012,  9.80E-014,  7.35E-013,  5.25E-013,  9.12E-014,  1.21E-012
HD 128621,  ,         2446596.3,  8.22E-013,  1.71E-013,  6.22E-013,  2.79E-013,  1.20E-013,  1.48E-012,  2.64E-012,  1.96E-013,  7.42E-013,  1.17E-012,  1.58E-013,  1.57E-012
HD 128621,  ,         2446596.3,  3.75E-013,  8.09E-014,  7.62E-013,  2.65E-014,  4.74E-014,  8.19E-013,  1.84E-012,  1.32E-013,  6.35E-013,  9.76E-013,  1.09E-013,  1.11E-012
HD 128621,  ,         2446809.5,  -9.62E-013,  1.74E-013,  1.24E-012,  -6.51E-013,  5.26E-014,  8.57E-013,  1.85E-012,  1.51E-013,  4.16E-013,  1.47E-012,  1.30E-013,  4.73E-013
HD 128621,  ,         2446810.6,  -2.88E-013,  2.71E-013,  1.20E-012,  -9.70E-013,  5.93E-014,  1.31E-012,  2.50E-012,  1.58E-013,  -1.36E-013,  -5.98E-013,  7.95E-014,  1.53E-012
HD128621,  ,         2447579.9,  -2.80E-013,  2.37E-013,  9.12E-013,  4.10E-013,  7.43E-014,  4.14E-013,  1.81E-012,  1.46E-013,  5.95E-013,  1.08E-012,  9.96E-014,  4.88E-013
HD128621,  ,         2447579.9,  1.24E-013,  6.56E-014,  5.89E-013,  2.25E-014,  3.85E-014,  6.53E-013,  1.44E-012,  1.00E-013,  4.34E-013,  6.41E-013,  8.07E-014,  9.00E-013
HD 128621,  ,         2447636.4,  2.28E-013,  8.70E-014,  8.37E-013,  9.13E-014,  4.53E-014,  7.23E-013,  1.56E-012,  1.12E-013,  5.70E-013,  8.43E-013,  9.39E-014,  9.64E-013
HD 128621,  ,         2447746.0,  5.11E-014,  2.73E-014,  9.30E-014,  -5.39E-014,  3.63E-015,  6.83E-014,  9.39E-014,  7.79E-015,  1.73E-014,  -1.86E-014,  2.83E-015,  3.76E-014
HD 128621,  ,         2447925.4,  4.92E-013,  7.51E-014,  6.39E-013,  -7.68E-014,  4.46E-014,  8.78E-013,  1.41E-012,  1.06E-013,  6.22E-013,  5.63E-013,  7.82E-014,  9.42E-013
HD 128621,  ,         2448115.1,  2.91E-013,  7.10E-014,  6.11E-013,  1.53E-014,  4.80E-014,  8.28E-013,  1.20E-012,  9.47E-014,  5.62E-013,  6.05E-013,  8.37E-014,  9.76E-013
HD 128621,  ,         2448283.6,  1.72E-013,  7.39E-014,  4.38E-013,  -5.49E-015,  3.31E-014,  5.32E-013,  1.10E-012,  7.42E-014,  2.70E-013,  3.58E-013,  6.20E-014,  7.96E-013
HD 128621,  ,         2448481.1,  -7.88E-014,  1.00E-013,  9.08E-013,  -8.22E-014,  3.86E-014,  7.11E-013,  1.09E-012,  8.75E-014,  5.01E-013,  5.90E-013,  7.92E-014,  8.92E-013
A CEN B ,  ,         2449845.4,  4.76E-013,  1.30E-013,  1.19E-012,  2.06E-013,  5.89E-014,  8.07E-013,  2.14E-012,  1.48E-013,  6.46E-013,  1.11E-012,  1.08E-013,  9.33E-013
HD 128621,  ,         2449847.2,  8.27E-013,  1.77E-013,  8.25E-013,  -3.60E-013,  6.48E-014,  1.14E-012,  2.69E-012,  1.81E-013,  4.77E-013,  4.26E-013,  1.12E-013,  1.45E-012
A CEN B ,  ,         2449851.2,  6.02E-013,  1.63E-013,  1.22E-012,  -1.77E-013,  7.09E-014,  1.36E-012,  1.71E-012,  1.48E-013,  1.03E-012,  7.02E-013,  1.08E-013,  1.29E-012
HD 128621,  ,         2449859.3,  4.94E-013,  9.75E-014,  5.88E-013,  -5.08E-014,  3.22E-014,  5.78E-013,  7.53E-013,  6.68E-014,  4.25E-013,  4.75E-013,  5.05E-014,  4.65E-013
HD 128621,  ,         2449862.3,  9.76E-013,  1.36E-013,  7.14E-013,  -5.26E-014,  3.37E-014,  6.27E-013,  9.39E-013,  8.21E-014,  5.36E-013,  4.61E-013,  5.84E-014,  6.39E-013
