Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 155885,  ,         2444506.9,  2.66E-013,  4.61E-014,  1.19E-013,  -5.22E-014,  6.09E-015,  9.62E-014,  2.11E-013,  1.72E-014,  6.17E-014,  3.80E-013,  1.82E-014,  -7.17E-014
HD 155885,  ,         2445106.9,  1.83E-013,  3.15E-014,  1.99E-013,  -9.55E-015,  6.42E-015,  1.15E-013,  2.69E-013,  1.78E-014,  6.11E-014,  1.61E-013,  1.29E-014,  8.01E-014
HD 155885,  ,         2448137.0,  3.73E-013,  4.18E-014,  2.47E-013,  6.70E-014,  1.07E-014,  1.12E-013,  2.51E-013,  1.75E-014,  6.93E-014,  1.46E-013,  1.17E-014,  6.46E-014
