Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 82558,  ,         2445283.7,  2.33E-014,  2.14E-014,  1.05E-013,  2.72E-014,  4.95E-015,  2.97E-014,  2.04E-013,  1.22E-014,  3.12E-015,  1.82E-013,  1.28E-014,  4.07E-014
HD 82558,  ,         2447463.7,  -2.03E-014,  2.08E-014,  1.15E-013,  4.77E-014,  6.72E-015,  4.75E-014,  2.48E-013,  1.29E-014,  -2.57E-014,  6.30E-014,  5.66E-015,  2.16E-014
HD 82558,  ,         2447463.8,  8.99E-014,  2.56E-014,  6.47E-014,  -4.34E-014,  5.74E-015,  9.77E-014,  1.15E-013,  9.15E-015,  1.92E-014,  1.68E-013,  1.04E-014,  -4.44E-015
HD 82558,  ,         2447463.9,  6.09E-014,  1.47E-014,  7.42E-014,  4.12E-014,  4.59E-015,  3.02E-014,  1.26E-013,  8.73E-015,  2.62E-014,  9.74E-014,  7.16E-015,  2.99E-014
HD 82558,  ,         2447464.7,  8.38E-014,  3.09E-014,  1.88E-013,  2.57E-014,  2.18E-014,  3.46E-013,  1.62E-013,  2.71E-014,  3.24E-013,  3.65E-013,  4.47E-014,  4.80E-013
HD 82558,  ,         2447464.8,  -5.21E-014,  3.18E-014,  1.81E-013,  1.63E-015,  1.04E-014,  1.30E-013,  1.78E-013,  1.14E-014,  -1.06E-014,  5.74E-014,  4.16E-015,  -3.22E-014
HD 82558,  ,         2447465.7,  2.80E-014,  1.81E-014,  6.05E-014,  6.59E-014,  6.09E-015,  2.18E-014,  2.37E-014,  8.03E-015,  1.01E-013,  7.42E-014,  4.24E-015,  -1.31E-014
HD 82558,  ,         2447465.8,  -7.41E-015,  2.04E-014,  9.85E-014,  1.12E-014,  6.48E-015,  6.92E-014,  1.02E-013,  7.04E-015,  -3.82E-016,  2.36E-014,  4.32E-015,  3.01E-014
HD 82558,  ,         2447467.7,  1.27E-013,  1.54E-014,  4.08E-014,  3.72E-014,  5.12E-015,  4.17E-014,  1.28E-013,  9.07E-015,  3.22E-014,  1.12E-013,  7.01E-015,  1.27E-014
HD 82558,  ,         2447468.7,  3.36E-014,  1.14E-014,  5.93E-014,  5.27E-014,  5.84E-015,  3.67E-014,  1.63E-013,  9.17E-015,  -3.80E-015,  6.27E-014,  6.16E-015,  3.99E-014
HD 82558,  ,         2448607.8,  1.03E-013,  1.75E-014,  2.54E-014,  5.60E-014,  7.19E-015,  4.39E-014,  1.74E-013,  9.97E-015,  -9.85E-015,  6.04E-014,  5.65E-015,  2.63E-014
HD 82558,  ,         2449336.6,  2.45E-014,  1.22E-014,  6.88E-014,  4.36E-014,  5.05E-015,  2.27E-014,  1.98E-013,  1.20E-014,  1.28E-014,  1.05E-013,  7.49E-015,  1.85E-014
HD 82558,  ,         2449337.6,  6.65E-014,  1.12E-014,  3.56E-014,  5.97E-014,  5.17E-015,  1.69E-014,  1.33E-013,  8.40E-015,  8.58E-015,  7.51E-014,  6.16E-015,  3.06E-014
HD 82558,  ,         2449337.7,  6.48E-014,  9.82E-015,  3.92E-014,  3.56E-014,  4.87E-015,  4.14E-014,  1.87E-013,  1.27E-014,  4.54E-014,  1.37E-013,  8.13E-015,  1.15E-014
HD 82558,  ,         2449338.6,  7.62E-014,  1.25E-014,  3.76E-014,  3.41E-015,  4.17E-015,  5.34E-014,  1.69E-013,  1.04E-014,  1.58E-014,  1.45E-013,  9.31E-015,  2.24E-014
HD 82558,  ,         2449338.7,  1.77E-013,  2.09E-014,  9.98E-014,  8.44E-014,  1.41E-014,  1.66E-013,  3.75E-013,  2.36E-014,  6.22E-014,  5.51E-013,  3.41E-014,  1.04E-013
HD 82558,  ,         2449339.6,  1.13E-013,  1.71E-014,  3.44E-014,  1.41E-015,  5.19E-015,  5.22E-014,  2.14E-013,  1.42E-014,  2.52E-014,  1.53E-013,  1.10E-014,  3.17E-014
HD 82558,  ,         2449339.7,  6.97E-014,  9.70E-015,  3.40E-014,  5.94E-014,  5.42E-015,  2.88E-014,  1.61E-013,  8.37E-015,  -1.28E-014,  8.37E-014,  6.32E-015,  2.93E-014
HD 82558,  ,         2449340.6,  3.61E-014,  1.60E-014,  4.28E-014,  2.72E-014,  9.57E-015,  8.64E-014,  1.50E-013,  1.31E-014,  4.51E-014,  9.87E-015,  9.12E-015,  1.15E-013
HD 82558,  ,         2449341.8,  3.66E-014,  8.96E-015,  5.25E-014,  6.40E-014,  5.40E-015,  2.05E-014,  1.44E-013,  9.84E-015,  3.19E-014,  1.38E-013,  8.02E-015,  5.91E-015
HD 82558,  ,         2449342.8,  5.42E-014,  9.14E-015,  2.60E-014,  3.19E-014,  4.68E-015,  3.75E-014,  1.91E-013,  1.10E-014,  7.06E-015,  1.51E-013,  9.33E-015,  1.94E-014
HD 82558,  ,         2449343.6,  1.25E-013,  1.83E-014,  3.91E-014,  6.58E-014,  9.35E-015,  6.32E-014,  1.01E-013,  9.96E-015,  4.95E-014,  2.51E-014,  6.63E-015,  6.64E-014
HD 82558,  ,         2449343.8,  2.93E-013,  3.83E-014,  2.37E-013,  4.66E-013,  4.01E-014,  2.90E-013,  9.22E-013,  6.26E-014,  2.77E-013,  1.30E-012,  8.67E-014,  3.92E-013
HD 82558,  ,         2449344.6,  4.98E-014,  1.82E-014,  7.49E-014,  4.99E-014,  1.41E-014,  1.60E-013,  3.21E-013,  2.14E-014,  4.47E-014,  3.48E-013,  1.78E-014,  -4.33E-014
HD 82558,  ,         2449344.7,  7.00E-014,  1.02E-014,  2.92E-014,  4.88E-014,  4.44E-015,  1.63E-014,  1.60E-013,  9.52E-015,  8.80E-015,  7.02E-014,  4.66E-015,  6.66E-015
HD 82558,  ,         2449345.6,  1.35E-013,  3.52E-014,  -2.12E-014,  2.38E-014,  5.39E-015,  3.77E-014,  1.23E-013,  7.46E-015,  -1.25E-014,  1.25E-013,  1.01E-014,  3.66E-014
