Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 165341,  ,         2444437.3,  2.77E-013,  3.94E-014,  1.46E-013,  6.82E-015,  1.14E-014,  1.47E-013,  5.70E-013,  3.88E-014,  1.27E-013,  4.47E-013,  3.04E-014,  1.10E-013
HD 165341,  ,         2444506.9,  4.61E-013,  9.59E-014,  2.20E-013,  7.43E-014,  2.43E-014,  1.46E-013,  8.37E-013,  4.76E-014,  -9.05E-014,  6.31E-013,  2.81E-014,  -2.33E-013
HD 165341,  ,         2445107.1,  1.23E-013,  2.46E-014,  1.46E-013,  9.60E-014,  1.35E-014,  1.17E-013,  4.50E-013,  2.99E-014,  8.48E-014,  1.91E-013,  2.04E-014,  1.74E-013
HD 165341,  ,         2445109.1,  1.96E-013,  3.15E-014,  1.51E-013,  -2.22E-014,  7.21E-015,  1.23E-013,  4.39E-013,  2.77E-014,  6.29E-014,  2.80E-013,  2.29E-014,  1.45E-013
HD 165341,  ,         2445112.1,  2.05E-013,  2.91E-014,  1.96E-013,  8.05E-014,  1.32E-014,  1.41E-013,  4.22E-013,  2.92E-014,  1.19E-013,  2.23E-013,  2.04E-014,  1.55E-013
HD 165341,  ,         2445114.4,  2.62E-013,  3.34E-014,  1.95E-013,  4.46E-014,  1.03E-014,  1.26E-013,  3.91E-013,  2.80E-014,  1.32E-013,  1.17E-013,  1.59E-014,  1.78E-013
SAO 123107,  ,         2445180.2,  -4.39E-014,  5.29E-014,  3.18E-013,  1.11E-013,  1.85E-014,  4.23E-014,  4.90E-013,  3.77E-014,  5.60E-014,  -1.81E-014,  2.44E-014,  3.26E-013
SAO 123107,  ,         2445180.3,  2.33E-013,  3.84E-014,  2.27E-013,  2.59E-014,  2.07E-014,  3.16E-013,  5.06E-013,  3.10E-014,  4.40E-014,  2.91E-013,  2.34E-014,  1.19E-013
SAO 123107,  ,         2445181.2,  2.55E-013,  3.45E-014,  1.86E-013,  4.33E-014,  9.44E-015,  1.04E-013,  3.65E-013,  2.92E-014,  1.63E-013,  2.19E-013,  2.19E-014,  1.89E-013
SAO 123107,  ,         2445181.7,  1.63E-013,  2.17E-014,  1.34E-013,  9.12E-015,  9.65E-015,  1.52E-013,  3.92E-013,  2.50E-014,  6.58E-014,  2.54E-013,  2.00E-014,  1.22E-013
HD 165341,  ,         2445787.3,  1.23E-013,  5.98E-014,  2.73E-013,  1.65E-014,  1.05E-014,  5.31E-014,  7.52E-013,  4.30E-014,  -3.54E-014,  2.44E-013,  2.58E-014,  1.47E-013
HD 165341,  ,         2447012.5,  2.29E-013,  3.92E-014,  5.63E-014,  -2.74E-014,  1.70E-014,  2.11E-013,  6.24E-013,  3.73E-014,  5.13E-015,  2.99E-013,  2.52E-014,  1.15E-013
HD165341,  ,         2447412.3,  2.30E-013,  3.73E-014,  9.97E-014,  3.47E-015,  1.33E-014,  1.39E-013,  6.37E-013,  4.10E-014,  7.72E-014,  3.54E-013,  2.66E-014,  1.04E-013
HD 165341,  ,         2447412.4,  2.07E-013,  3.82E-014,  1.19E-013,  -5.38E-014,  1.83E-014,  2.83E-013,  6.26E-013,  3.77E-014,  1.65E-014,  2.79E-013,  2.59E-014,  1.60E-013
HD 165341,  ,         2448148.5,  1.14E-013,  2.29E-014,  1.51E-013,  6.44E-014,  1.32E-014,  1.44E-013,  5.27E-013,  3.45E-014,  1.12E-013,  2.74E-013,  2.10E-014,  1.12E-013
