Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD128621-COPY,  ALP-CEN-B,         55378.037,  9.69E-013,  6.62E-014,  6.98E-014,  3.82E-013,  2.40E-014,  7.87E-014,  2.19E-012,  1.13E-013,  1.93E-014,  1.09E-012,  6.25E-014,  1.45E-013
HD128621,  ALP-CEN-B,         55601.234,  8.36E-013,  5.45E-014,  6.21E-014,  3.14E-013,  1.99E-014,  6.91E-014,  1.83E-012,  9.46E-014,  1.84E-014,  8.98E-013,  5.19E-014,  1.29E-013
HD128621,  ALP-CEN-B,         55712.112,  8.56E-013,  5.52E-014,  4.81E-014,  3.43E-013,  2.10E-014,  6.18E-014,  1.87E-012,  9.65E-014,  2.05E-014,  9.47E-013,  5.40E-014,  1.23E-013
HD128621-1,  ALP-CEN-B,         55987.137,  8.97E-013,  6.16E-014,  6.80E-014,  4.23E-013,  2.61E-014,  8.18E-014,  2.20E-012,  1.13E-013,  2.11E-014,  1.13E-012,  6.39E-014,  1.39E-013
HD128621-2,  ALP-CEN-B,         56206.773,  9.32E-013,  5.76E-014,  5.86E-014,  2.81E-013,  1.78E-014,  5.88E-014,  1.74E-012,  9.02E-014,  2.22E-014,  8.39E-013,  4.82E-014,  1.15E-013
HD128621-1,  ALP-CEN-B,         56373.194,  1.02E-012,  6.67E-014,  6.22E-014,  4.44E-013,  2.73E-014,  8.26E-014,  2.40E-012,  1.23E-013,  2.11E-014,  1.15E-012,  6.51E-014,  1.41E-013
HD128621-2,  ALP-CEN-B,         56536.745,  9.22E-013,  5.76E-014,  7.03E-014,  2.75E-013,  1.77E-014,  6.12E-014,  1.71E-012,  8.86E-014,  2.01E-014,  7.99E-013,  4.63E-014,  1.16E-013
HD128621-1,  ALP-CEN-B,         56700.517,  4.81E-013,  3.88E-014,  4.06E-014,  2.46E-013,  1.57E-014,  5.15E-014,  1.52E-012,  7.86E-014,  1.38E-014,  7.13E-013,  4.08E-014,  9.08E-014
HD128621-2,  ALP-CEN-B,         56862.925,  7.35E-013,  4.98E-014,  6.72E-014,  2.55E-013,  1.67E-014,  6.22E-014,  1.70E-012,  8.82E-014,  2.10E-014,  7.75E-013,  4.52E-014,  1.19E-013
