Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 210334,  ,         2449629.0,  2.51E-013,  3.75E-014,  1.14E-013,  2.17E-013,  2.65E-014,  2.11E-013,  8.06E-013,  5.36E-014,  1.63E-013,  5.69E-013,  4.04E-014,  1.74E-013
ARLAC   ,  ,         2449629.1,  4.14E-013,  6.00E-014,  1.33E-013,  2.66E-013,  2.37E-014,  1.06E-013,  7.93E-013,  5.17E-014,  1.51E-013,  5.81E-013,  3.47E-014,  5.58E-014
ARLAC   ,  ,         2449629.1,  2.43E-013,  3.81E-014,  1.21E-013,  2.35E-013,  2.15E-014,  1.06E-013,  7.40E-013,  4.45E-014,  6.25E-014,  4.62E-013,  3.38E-014,  1.53E-013
ARLAC   ,  ,         2449629.2,  1.99E-013,  4.26E-014,  1.78E-013,  2.13E-013,  1.84E-014,  6.33E-014,  6.86E-013,  4.26E-014,  7.59E-014,  4.38E-013,  3.01E-014,  1.02E-013
ARLAC   ,  ,         2449629.3,  1.98E-013,  3.48E-014,  1.44E-013,  2.79E-013,  2.29E-014,  9.22E-014,  9.08E-013,  5.19E-014,  4.44E-014,  5.42E-013,  3.74E-014,  1.44E-013
HD 210334,  ,         2449629.4,  2.56E-013,  3.51E-014,  6.31E-014,  2.13E-013,  2.09E-014,  1.11E-013,  5.91E-013,  3.85E-014,  8.84E-014,  3.06E-013,  2.37E-014,  1.04E-013
HD 210334,  ,         2449629.4,  1.59E-013,  2.43E-014,  5.09E-015,  1.73E-013,  1.35E-014,  1.55E-014,  3.88E-013,  2.54E-014,  4.98E-014,  1.71E-013,  1.68E-014,  1.12E-013
HD 210334,  ,         2449629.5,  6.47E-014,  2.29E-014,  6.23E-014,  1.01E-013,  1.15E-014,  5.22E-014,  2.00E-013,  1.61E-014,  5.43E-014,  2.46E-013,  1.69E-014,  4.11E-014
HD210334,  ,         2449629.6,  1.87E-013,  2.57E-014,  7.54E-015,  7.47E-014,  1.08E-014,  6.51E-014,  2.27E-013,  1.87E-014,  8.57E-014,  2.46E-013,  1.76E-014,  5.61E-014
HD 210334,  ,         2449629.7,  1.83E-013,  3.78E-014,  1.12E-013,  2.93E-013,  2.47E-014,  9.31E-014,  5.12E-013,  3.36E-014,  7.11E-014,  2.63E-013,  2.32E-014,  1.38E-013
