Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 131156,  ,         2445717.6,  2.62E-013,  3.21E-014,  1.40E-013,  3.12E-014,  1.11E-014,  1.38E-013,  5.31E-013,  3.28E-014,  6.21E-014,  3.30E-013,  2.66E-014,  1.65E-013
HD 131156,  ,         2445718.6,  2.55E-013,  4.11E-014,  2.42E-013,  9.25E-014,  1.49E-014,  1.55E-013,  4.57E-013,  3.02E-014,  1.01E-013,  3.40E-013,  2.98E-014,  2.24E-013
HD 131156,  ,         2445719.6,  2.61E-013,  3.41E-014,  1.53E-013,  3.51E-014,  1.12E-014,  1.41E-013,  4.16E-013,  2.83E-014,  9.70E-014,  3.04E-013,  2.72E-014,  2.06E-013
HD 131156,  ,         2445720.7,  1.84E-013,  3.04E-014,  1.70E-013,  8.70E-015,  6.31E-015,  6.84E-014,  3.72E-013,  2.74E-014,  1.22E-013,  2.53E-013,  2.29E-014,  1.65E-013
HD 131156,  ,         2445720.8,  2.64E-013,  3.00E-014,  1.18E-013,  4.77E-014,  1.54E-014,  1.91E-013,  4.30E-013,  2.76E-014,  6.80E-014,  3.78E-013,  2.53E-014,  8.49E-014
HD 131156,  ,         2446421.8,  1.73E-013,  2.83E-014,  9.42E-014,  -6.15E-014,  1.33E-014,  2.46E-013,  5.01E-013,  3.34E-014,  9.86E-014,  3.09E-013,  2.85E-014,  2.00E-013
HD 131156,  ,         2446422.8,  2.11E-013,  4.05E-014,  2.20E-013,  -3.09E-015,  1.36E-014,  1.79E-013,  4.68E-013,  3.39E-014,  1.24E-013,  4.04E-013,  2.90E-014,  1.08E-013
BOO A   ,  ,         2446423.3,  1.42E-013,  2.43E-014,  1.32E-013,  3.17E-014,  1.03E-014,  1.37E-013,  4.65E-013,  2.87E-014,  6.34E-014,  3.49E-013,  2.68E-014,  1.60E-013
HD 131156,  ,         2446601.8,  1.85E-013,  2.85E-014,  1.85E-013,  6.56E-014,  1.36E-014,  1.65E-013,  4.70E-013,  3.10E-014,  9.65E-014,  3.13E-013,  2.52E-014,  1.56E-013
HD 131156,  ,         2446602.7,  1.92E-013,  2.83E-014,  1.94E-013,  1.37E-014,  1.12E-014,  1.75E-013,  4.81E-013,  3.01E-014,  8.04E-014,  3.10E-013,  2.60E-014,  1.86E-013
HD 131156,  ,         2446603.8,  2.16E-013,  2.51E-014,  1.39E-013,  3.83E-014,  1.29E-014,  1.79E-013,  3.88E-013,  2.68E-014,  1.02E-013,  1.98E-013,  2.57E-014,  2.84E-013
HD 131156,  ,         2446604.9,  3.04E-013,  3.62E-014,  2.07E-013,  5.36E-014,  1.37E-014,  1.89E-013,  3.65E-013,  2.53E-014,  9.96E-014,  3.21E-013,  2.51E-014,  1.59E-013
