Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 118216,  ,         2444025.2,  1.79E-012,  2.37E-013,  6.21E-013,  2.36E-013,  4.68E-014,  3.04E-013,  1.07E-012,  1.08E-013,  5.94E-013,  3.72E-013,  1.18E-013,  1.57E-012
HD118216,  ,         2444216.2,  3.83E-013,  5.27E-014,  3.13E-013,  3.23E-013,  3.87E-014,  3.69E-013,  8.33E-013,  7.31E-014,  5.46E-013,  7.70E-013,  9.64E-014,  1.09E-012
HD 118216,  ,         2444270.7,  4.69E-013,  1.03E-013,  4.66E-013,  1.74E-013,  5.79E-014,  6.72E-013,  1.48E-012,  1.35E-013,  5.83E-013,  1.66E-012,  1.62E-013,  1.18E-012
HR 5110 ,  ,         2444700.9,  4.47E-013,  5.27E-014,  2.62E-013,  2.90E-013,  3.91E-014,  3.83E-013,  9.69E-013,  7.94E-014,  5.16E-013,  1.00E-012,  1.04E-013,  1.00E-012
HR 5110 ,  ,         2445888.8,  1.52E-013,  4.89E-014,  4.41E-013,  1.52E-013,  3.84E-014,  5.15E-013,  1.02E-012,  9.09E-014,  6.91E-013,  1.06E-012,  1.16E-013,  1.18E-012
HD 118216,  ,         2449167.3,  3.76E-013,  7.91E-014,  1.67E-013,  -3.65E-014,  4.27E-014,  5.76E-013,  1.45E-012,  1.24E-013,  6.92E-013,  1.05E-012,  1.61E-013,  1.92E-012
