Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 81937,  ,         2447964.4,  -3.64E-014,  6.49E-014,  7.57E-013,  -1.05E-013,  6.15E-014,  1.17E-012,  4.90E-013,  1.04E-013,  1.44E-012,  1.18E-012,  2.05E-013,  2.78E-012
HD 81937,  ,         2449316.9,  7.10E-014,  4.16E-013,  -2.87E-013,  2.50E-013,  2.86E-013,  3.08E-012,  4.98E-013,  1.80E-013,  1.48E-012,  -2.05E-013,  2.20E-013,  3.37E-012
HD 81937A,  ,         2449390.4,  -1.33E-013,  3.85E-013,  8.83E-013,  8.19E-014,  2.30E-013,  2.57E-012,  4.00E-013,  1.82E-013,  1.87E-012,  -2.89E-013,  2.59E-013,  4.41E-012
