Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 432  ,  ,         2447073.8,  9.21E-014,  2.90E-013,  2.32E-012,  8.06E-013,  2.20E-013,  2.52E-012,  2.22E-012,  3.31E-013,  3.16E-012,  1.65E-012,  4.81E-013,  6.90E-012
HD 432  ,  ,         2447074.8,  3.84E-013,  2.78E-013,  2.12E-012,  -9.32E-013,  1.56E-013,  3.02E-012,  1.40E-012,  2.73E-013,  2.94E-012,  1.84E-012,  4.45E-013,  6.13E-012
HD 432  ,  ,         2447074.8,  7.23E-013,  2.73E-013,  1.58E-012,  -5.37E-013,  2.32E-013,  4.10E-012,  1.47E-012,  3.20E-013,  3.74E-012,  1.97E-012,  5.50E-013,  7.99E-012
HD 432  ,  ,         2447074.9,  4.19E-013,  3.03E-013,  2.49E-012,  -6.38E-013,  2.07E-013,  3.76E-012,  1.40E-012,  2.95E-013,  3.40E-012,  2.39E-012,  5.21E-013,  7.07E-012
HD 432  ,  ,         2447074.9,  1.75E-013,  2.83E-013,  2.52E-012,  4.48E-013,  1.88E-013,  2.38E-012,  1.17E-012,  2.76E-013,  3.30E-012,  3.74E-012,  5.24E-013,  5.77E-012
HD 432  ,  ,         2448460.0,  1.32E-012,  9.02E-013,  -5.13E-013,  -4.40E-012,  4.46E-013,  8.29E-012,  1.30E-012,  4.24E-013,  3.64E-012,  3.27E-012,  7.80E-013,  9.58E-012
HD 432  ,  ,         2448822.7,  4.60E-012,  5.66E-012,  -2.95E-013,  5.20E-012,  3.08E-012,  2.58E-011,  1.93E-011,  1.59E-012,  -9.89E-012,  -1.40E-011,  1.09E-012,  1.85E-011
HD 432  ,  ,         2448822.7,  6.47E-013,  2.16E-013,  1.47E-012,  2.72E-013,  1.99E-013,  3.08E-012,  2.79E-012,  3.44E-013,  3.52E-012,  2.36E-012,  5.56E-013,  8.28E-012
HD 432  ,  ,         2448822.7,  -5.05E-015,  1.58E-013,  1.94E-012,  2.29E-014,  1.66E-013,  2.97E-012,  1.93E-012,  2.83E-013,  3.44E-012,  3.01E-012,  5.00E-013,  6.74E-012
HD 432  ,  ,         2448822.8,  -2.20E-013,  1.41E-013,  1.92E-012,  2.89E-013,  1.58E-013,  2.56E-012,  2.12E-012,  2.75E-013,  3.10E-012,  2.43E-012,  4.40E-013,  6.14E-012
HD 432  ,  ,         2448822.8,  -7.10E-014,  1.53E-013,  1.93E-012,  1.42E-013,  1.76E-013,  3.06E-012,  2.09E-012,  3.03E-013,  3.67E-012,  2.96E-012,  5.35E-013,  7.47E-012
HD 432  ,  ,         2448822.8,  9.18E-014,  1.49E-013,  1.74E-012,  -1.21E-013,  1.57E-013,  2.95E-012,  2.24E-012,  2.75E-013,  2.99E-012,  3.52E-012,  5.08E-013,  6.39E-012
HD 432  ,  ,         2448822.9,  1.78E-014,  1.52E-013,  1.82E-012,  1.79E-013,  1.73E-013,  2.97E-012,  2.28E-012,  3.01E-013,  3.44E-012,  2.90E-012,  5.43E-013,  7.70E-012
HD 432  ,  ,         2448822.9,  -1.35E-013,  1.96E-013,  2.32E-012,  -2.17E-013,  1.93E-013,  3.56E-012,  3.06E-012,  3.44E-013,  3.38E-012,  2.51E-012,  6.18E-013,  9.44E-012
HD 432  ,  ,         2448822.9,  -4.68E-013,  1.40E-013,  2.10E-012,  1.12E-013,  1.56E-013,  2.70E-012,  1.77E-012,  2.79E-013,  3.52E-012,  2.39E-012,  5.04E-013,  7.44E-012
HD 432  ,  ,         2448823.0,  -3.11E-013,  1.60E-013,  2.32E-012,  1.71E-013,  1.63E-013,  2.78E-012,  2.07E-012,  3.09E-013,  3.80E-012,  1.94E-012,  5.03E-013,  7.84E-012
HD 432  ,  ,         2448823.0,  -9.30E-014,  1.67E-013,  2.16E-012,  -2.09E-013,  1.66E-013,  3.19E-012,  1.82E-012,  2.98E-013,  3.81E-012,  3.40E-012,  5.40E-013,  7.12E-012
HD 432  ,  ,         2448823.0,  -4.05E-013,  1.75E-013,  2.60E-012,  -1.97E-014,  1.52E-013,  2.74E-012,  1.56E-012,  2.90E-013,  3.94E-012,  2.40E-012,  4.97E-013,  7.27E-012
HD 432  ,  ,         2448823.1,  -8.38E-013,  1.75E-013,  3.02E-012,  -7.57E-015,  1.66E-013,  2.98E-012,  1.99E-012,  2.99E-013,  3.66E-012,  3.07E-012,  5.63E-013,  7.89E-012
HD 432  ,  ,         2448823.1,  4.21E-013,  1.99E-013,  1.74E-012,  1.50E-013,  1.95E-013,  3.22E-012,  3.27E-012,  3.45E-013,  3.14E-012,  2.69E-012,  5.58E-013,  8.04E-012
HD 432  ,  ,         2448823.2,  4.92E-013,  2.17E-013,  1.95E-012,  -7.64E-013,  1.68E-013,  3.64E-012,  2.38E-012,  3.31E-013,  3.79E-012,  3.72E-012,  5.77E-013,  7.43E-012
HD 432  ,  ,         2448823.2,  -9.55E-014,  1.83E-013,  2.14E-012,  -4.66E-013,  1.66E-013,  3.35E-012,  2.26E-012,  3.28E-013,  3.86E-012,  2.06E-012,  5.68E-013,  8.91E-012
HD 432  ,  ,         2448823.2,  -4.19E-013,  1.81E-013,  2.40E-012,  1.16E-013,  2.12E-013,  3.65E-012,  2.61E-012,  3.38E-013,  3.72E-012,  3.43E-012,  5.86E-013,  7.91E-012
